,0
0,10107
1,14593
2,84788
3,14542
4,22111
5,47896
6,13407
7,90319
8,11850
9,55976
10,21936
11,59408
12,92655
13,65875
14,92611
15,18163
16,38703
17,59328
18,14541
19,66093
20,11308
21,22752
22,76076
23,66181
24,91233
25,19561
26,26403
27,10104
28,13856
29,89525
30,13721
31,43449
32,70519
33,20482
34,14008
35,16851
36,50876
37,60097
38,89393
39,22592
40,75510
41,90215
42,92602
43,93002
44,12490
45,48725
46,15488
47,10145
48,57665
49,13901
50,17830
51,15579
52,62092
53,89071
54,87055
55,18143
56,19393
57,17005
58,24205
59,86580
60,59176
61,77274
62,77702
63,86783
64,18542
65,21178
66,61399
67,66157
68,64186
69,49680
70,13928
71,86111
72,77178
73,69032
74,89179
75,87447
76,12060
77,12308
78,19502
79,89626
80,86868
81,87267
82,27959
83,39642
84,76841
85,79057
86,73139
87,89006
88,44644
89,75186
90,40539
91,88352
92,60442
93,15408
94,62148
95,80100
96,18729
97,78975
98,90441
99,75825
